"Subscription Notification Options","Subscription Notification Options"
"Email Admin on Subscribe","Email Admin on Subscribe"
"Do you want an email notification when you get a subscriber?","Do you want an email notification when you get a subscriber?"
"Subscription Notification Template","Subscription Notification Template"
"Notification Email Sender","Notification Email Sender"
"Notification Email Recipient","Notification Email Recipient"
"What email address should the notifications go to?","What email address should the notifications go to?"
"Subscription notification","Subscription notification"
"Subscription Notifications","Subscription Notifications"
"Guest","Guest"
"Unable to send newsletter subscription notification for ","Unable to send newsletter subscription notification for "
" with email address "," with email address "
